A/A;FILE NO;DATE;DAY ;VESSEL;PORT ;ETA;ETD;COMMENTS;;;
439;;20-Oct;Friday;Viking Sky;Piraeus ;7:00;23:59;T/A;;;
440;;20-Oct;Friday;My Elysium;Syros;12:00;23:00;;;;
441;;21-Oct;Saturday;Viking Neptune;Piraeus;0:00;18:00;T/A;;;
442;;21-Oct;Saturday;Viking Saturn;Katakolon;8:00;16:00;;;;
443;;21-Oct;Saturday;Viking Sky;Piraeus ;0:00;18:00;;;;
444;;21-Oct;Saturday;My Elysium;Lavrion ;8:00;;;;;
445;;22-Oct;Sunday;Viking Neptune;Katakolon ;12:00;19:00;;;;
446;;22-Oct;Sunday;Viking Saturn;Corfu;8:00;17:00;;;;
447;;22-Oct;Sunday;Viking Sky;Heraklion;7:00;18:00;;;;
448;;23-Oct;Monday;Viking Neptune;Corfu;8:00;17:00;;;;
449;;23-Oct;Monday;Viking Sky;Rhodes,;7:00;18:00;;;;
450;;23-Oct;Monday;Resilient Lady;Santorini;9:00;22:00;;;;
451;;26-Oct;Thursday;Viking Sea;Corfu;9:00;22:30;;;;
452;;28-Oct;Saturday;Amadea;Zakynthos;8,00;18,00;;;;
453;;31-Oct;Tuesday;Viking Saturn;Corfu;9:00;22:30;;;;
454;;31-Oct;Tuesday;Viking Sky;Rhodes;7:00;18:00;;;;
455;;1-Nov;Wednesday;Viking Sky;Heraklion;7:00;18:00;;;;
456;;2-Nov;Thursday;Viking Neptune;Corfu;8:00;17:00;;;;
457;;2-Nov;Thursday;Viking Sky;Piraeus;7:00;23:59;;;;
458;;2-Nov;Thursday;Viking Venus;Corfu;8:00;17:00;;;;
459;;3-Nov;Friday;Viking Neptune;Katakolon;8:00;16:00;;;;
460;;3-Nov;Friday;Viking Sky;Piraeus ;0:00;23:59;T/A;;;
461;;3-Nov;Friday;Viking Venus;Katakolon ;7:00;14:00;;;;
462;;4-Nov;Saturday;Viking Neptune;Santorini;9:00;18:00;;;;
463;;4-Nov;Saturday;Viking Sky;Piraeus;0:00;17:30;;;;
464;;4-Nov;Saturday;Viking Venus;Piraeus;7:00;23:59;T/A;;;
465;;5-Nov;Sunday;Viking Venus;Piraeus;0:00;17:00;;;;
466;;5-Nov;Sunday;Viking Neptune;Piraeus;8:00;23:59;;;;
467;;6-Nov;Monday;Viking Neptune;Piraeus ;0:00;23:59;T/A;;;
468;;6-Nov;Monday;Viking Sky;Souda Bay;8:00;17:00;;;;
469;;6-Nov;Monday;Viking Venus;Volos;8:00;18:00;;;;
470;;7-Nov;Tuesday;Viking Neptune;Piraeus ;0:00;17:00;;;;
471;;7-Nov;Tuesday;Viking Venus;Thessaloniki;7:30;22:00;;;;
472;;7-Nov;Tuesday;MS Amadea;Santorini;13:00;20:00;;;;
473;;8-Nov;Wednesday;Viking Neptune;Volos;8:00;18:00;;;;
474;;9-Nov;Thursday;Viking Neptune;Thessaloniki;7:30;22:00;;;;
475;;10-Nov;Friday;Viking Venus;Rhodes;7:30;17:30;;;;
476;;11-Nov;Saturday;Viking Venus;Santorini;7:30;17:30;;;;
477;;12-Nov;Sunday;Viking Neptune;Rhodes, ;7:30;17:30;;;;
478;;12-Nov;Sunday;Viking Venus;Souda Bay;7:00;17:30;;;;
479;;13-Nov;Monday;Viking Neptune;Santorini;7:30;17:30;;;;
480;;13-Nov;Monday;Viking Venus;Nafplion;7:30;17:30;;;;
481;;14-Nov;Tuesday;Viking Neptune;Souda Bay;7:00;17:30;;;;
482;;14-Nov;Tuesday;Viking Venus;Piraeus;3:00;23:59;T/A;;;
483;;15-Nov;Wednesday;Viking Neptune;Nafplion;7:30;17:30;;;;
484;;15-Nov;Wednesday;Viking Venus;Piraeus ;0:00;23:00;;;;
485;;16-Nov;Thursday;Viking Neptune;Piraeus;3:00;23:59;T/A;;;
486;;16-Nov;Thursday;Viking Venus;Mykonos ;8:00;18:00;;;;
487;;17-Nov;Friday;Viking Neptune;Piraeus ;0:00;23:00;;;;
488;;17-Nov;Friday;Viking Venus;Rhodes,;8:00;18:00;;;;
489;;18-Nov;Saturday;Viking Neptune;Mykonos ;8:00;18:00;;;;
490;;19-Nov;Sunday;Viking Neptune;Rhodes, ;8:00;18:00;;;;
491;;19-Nov;Sunday;Viking Saturn;Souda Bay;8:00;17:00;;;;
492;;21-Nov;Tuesday;Viking Saturn;Piraeus;7:00;23:59;;;;
493;;22-Nov;Wednesday;Viking Saturn;Piraeus ;0:00;23:59;T/A;;;
494;;23-Nov;Thursday;Viking Saturn;Piraeus ;0:00;23:00;;;;
495;;24-Nov;Friday;Viking Saturn;Mykonos ;8:00;18:00;;;;
496;;24-Nov;Friday;Viking Venus;Heraklion;8:00;14:00;;;;
497;;25-Nov;Saturday;Viking Saturn;Rhodes, ;8:00;18:00;;;;
498;;26-Nov;Sunday;Viking Neptune;Heraklion;8:00;14:00;;;;
499;;2-Dec;Saturday;Viking Saturn;Heraklion;8:00;14:00;;;;
500;;2-Dec;Saturday;Viking Venus;Heraklion;13:00;19:00;;;;
501;;9-Dec;Saturday;Viking Venus;Rhodes,;8:00;18:00;;;;
502;;10-Dec;Sunday;Viking Saturn;Heraklion;13:00;19:00;;;;
503;;10-Dec;Sunday;Viking Venus;Mykonos ;8:00;18:00;;;;
504;;11-Dec;Monday;Viking Venus;Piraeus ;7:00;23:59;;;;
505;;12-Dec;Tuesday;Viking Venus;Piraeus;0:00;23:59;T/A;;;
506;;13-Dec;Wednesday;Viking Venus;Piraeus;0:00;17:00;;;;
507;;14-Dec;Thursday;Viking Venus;Volos;8:00;18:00;;;;
508;;15-Dec;Friday;Viking Venus;Thessaloniki;7:30;22:00;;;;
509;;17-Dec;Sunday;Viking Saturn;Rhodes;8:00;18:00;;;;
510;;18-Dec;Monday;Viking Saturn;Mykonos ;8:00;18:00;;;;
511;;18-Dec;Monday;Viking Venus;Rhodes,;7:30;17:30;;;;
512;;19-Dec;Tuesday;Viking Venus;Santorini;7:30;17:30;;;;
513;;19-Dec;Tuesday;Viking Saturn;Piraeus ;7:00;23:59;;;;
514;;20-Dec;Wednesday;Viking Saturn;Piraeus;0:00;23:59;T/A;;;
515;;20-Dec;Wednesday;Viking Venus;Souda Bay;7:00;17:30;;;;
516;;21-Dec;Thursday;Viking Saturn;Piraeus ;0:00;17:30;;;;
517;;21-Dec;Thursday;Viking Venus;Nafplion;7:30;17:30;;;;
518;;22-Dec;Friday;Viking Venus;Piraeus ;3:00;23:59;T/A;;;
519;;23-Dec;Saturday;Viking Saturn;Souda Bay;8:00;17:00;;;;
520;;23-Dec;Saturday;Viking Venus;Piraeus;0:00;17:30;;;;
521;;25-Dec;Monday;Viking Venus;Souda Bay;8:00;17:00;;;;
